"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"上海斐讯数据通信技术有限公司; 湖州帷幄知识产权运营有限公司; 杭州吉吉知识产权运营有限公司","杭州吉吉知识产权运营有限公司; 许有智; 湖州帷幄知识产权运营有限公司","上海","310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 570100 海南省海口市美兰区万华路13号蓝天派出所集体户; 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室","上海","31"
"北京中科晶上科技股份有限公司","南京中科晶上通信技术有限公司","北京","210000 江苏省南京市麒麟高新技术产业开发区人工智能产业园六号楼二楼","北京","21"
"上海斐讯数据通信技术有限公司; 杭州吉吉知识产权运营有限公司; 蚌埠立超信息科技有限公司; 湖州帷幄知识产权运营有限公司","杭州吉吉知识产权运营有限公司; 蚌埠立超信息科技有限公司; 湖州帷幄知识产权运营有限公司; 青海罗曼信息科技有限公司","上海","310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 233000 安徽省蚌埠市燕山路8319号(上理工科技园6号302室); 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室; 810000 青海省西宁市城西区海湖路8号第A5号楼1213室","上海","31"
"华为技术有限公司; 深圳尚格知识产权服务有限公司","深圳尚格知识产权服务有限公司; 上海朋邦实业有限公司","上海","518101 广东省深圳市宝安区新安街道前进一路269号诺铂广场625室; 201899 上海市嘉定区皇庆路333号2幢五层","上海","51"
"福建优安米信息科技有限公司; 湖州优研知识产权服务有限公司","湖州优研知识产权服务有限公司; 和宇健康科技股份有限公司","福建","313000 浙江省湖州市南浔区南浔镇朝阳路666号南浔科技创业园一层1020室; 510627 广东省广州市天河区海安路13号之一2003、1801、1804房","福建","31"
"精硕科技(北京)股份有限公司","上海明略人工智能(集团)有限公司","北京","200030 上海市徐汇区云锦路701号29、30、31、32层","北京","20"
"孙高磊; 程涛; 冯平","程涛","广东","518060 广东省深圳市南山区南油路2336号","广东","51"
"华为技术有限公司; 罗三杰; 深圳尚格知识产权服务有限公司","深圳尚格知识产权服务有限公司; 南京达风数控技术有限公司; 罗三杰","广东","518000 广东省深圳市宝安区新安街道前进一路269号诺铂广场625室; 211100 江苏省南京市江宁区福英路1001号联东U谷50#401(江宁高新园); 223600 江苏省宿迁市沭阳县张圩乡工业大道2号","广东","51"
"知维科技有限公司","华为技术有限公司","广东","广东省深圳市龙岗区坂田华为总部办公楼","广东","广东"
"华为技术有限公司; 深圳尚格知识产权服务有限公司","深圳尚格知识产权服务有限公司; 江苏星地通通信科技有限公司","江苏","518101 广东省深圳市宝安区新安街道前进一路269号诺铂广场625室; 210000 江苏省南京市高淳区漆桥镇河滨路1号","江苏","51"
"深圳尚格知识产权服务有限公司; 华为技术有限公司","诸暨市尚诺五金经营部; 深圳尚格知识产权服务有限公司","浙江","311800 浙江省绍兴市诸暨市暨阳街道安平小区3-2-2408; 518000 广东省深圳市宝安区新安街道前进一路269号诺铂广场625室","浙江","31"
"TCL移动通信科技(宁波)有限公司; 工业和信息化部威海电子信息技术综合研究中心; 威海神舟信息技术研究院有限公司; TCL通讯(宁波)有限公司","TCL通讯(宁波)有限公司; 威海神舟信息技术研究院有限公司; 山东腾威科技有限公司; 工业和信息化部威海电子信息技术综合研究中心","浙江","315100 浙江省宁波市高新区扬帆路999弄5号6楼; 264200 山东省威海市火炬高技术产业开发区火炬路213号创新创业基地A座18楼; 264200 山东省威海市火炬高技术产业开发区火炬路213-2号创新创业基地A座509室; 264200 山东省威海市火炬高技术产业开发区火炬路213号创新创业基地A座19楼","浙江","31"
"公安部第一研究所; 北京中盾安全技术开发公司","公安部第一研究所; 北京中盾安信科技发展有限公司; 北京中盾安全技术开发有限公司","北京","100048 北京市海淀区首都体育馆南路一号","北京","10"
"杭州吉吉知识产权运营有限公司; 上海斐讯数据通信技术有限公司; 湖州帷幄知识产权运营有限公司; 蚌埠叁零玖科技咨询有限公司","蚌埠叁零玖科技咨询有限公司; 杭州吉吉知识产权运营有限公司; 郴州瑞耀信息科技有限公司; 湖州帷幄知识产权运营有限公司","上海","233000 安徽省蚌埠市龙子湖区凤阳西路东安市场3楼; 310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 424400 湖南省郴州市桂阳县鹿峰街道向阳路11号701户; 313001 浙江省湖州市吴兴区爱山街道新天地写字楼1019室","上海","23"
"华为技术有限公司; 深圳尚格知识产权服务有限公司","深圳尚格知识产权服务有限公司; 赵修文","广东","518101 广东省深圳市宝安区新安街道前进一路269号诺铂广场625室; 200333 上海市普陀区金沙江路2438弄48号102室","广东","51"
"努比亚技术有限公司; 和宇健康科技股份有限公司; 陈中和; 汇佳网(天津)科技有限公司","陈中和; 汇佳网(天津)科技有限公司; 和宇健康科技股份有限公司; 天津旻凯科技有限公司","浙江","325000 浙江省温州市鹿城区大南街道龙泉巷亦美大厦4幢2203室; 300000 天津市南开区卫津路与万德庄大街交口西南侧新都大厦1-1-505-1; 510627 广东省广州市天河区海安路13号之一2003、1801、1804房; 300000 天津市河东区海河东路东侧美岸广场4-401","浙江","32"
"西华大学; 北京山德斯通科技有限公司; 李沄沨","李沄沨; 中图科信数智技术(北京)有限公司; 北京山德斯通科技有限公司","四川","100007 北京市东城区大兴胡同7号; 100000 北京市海淀区温泉镇创客小镇社区配套商业楼17#楼二层228室; 100079 北京市丰台区贾家花园15号院7号楼1294室","四川","10"
"中电科技集团重庆声光电有限公司; 中国电子科技集团公司第四十四研究所","联合微电子中心有限责任公司; 中电科技集团重庆声光电有限公司","重庆","400030 重庆市沙坪坝区西园一路28号附2号; 401332 重庆市沙坪坝区西永镇微电园西永路367号","重庆","40"
"贵州电网公司信息通信分公司; 北京清大高科系统控制有限公司","贵州电网有限责任公司","贵州","550002 贵州省贵阳市南明区滨河路17号","贵州","55"
"苏宁云计算有限公司; 苏宁易购集团股份有限公司","南京苏宁云财信息技术有限公司; 苏宁云计算有限公司","江苏","210000 江苏省南京市南京江北新区星火路9号软件大厦B座3层302室; 210042 江苏省南京市玄武区徐庄软件园苏宁大道1-1号","江苏","21"
"上海斐讯数据通信技术有限公司","北京高汇通商业管理有限公司","上海","100015 北京市朝阳区酒仙桥路10号24号楼二层201室","上海","10"
"陕西科技大学","湛江市佰圣信息科技有限公司","陕西","524000 广东省湛江市赤坎区康顺路117号五楼513号","陕西","52"
"上海斐讯数据通信技术有限公司; 上海碧鸽网络科技有限公司","上海碧鸽网络科技有限公司; 山西国信光远科技有限公司","上海","200030 上海市徐汇区钦州北路1198弄82幢19层02室; 030000 山西省太原市山西转型综合改革示范区唐槐产业园开元街8号1幢2层208室","上海","20"
"冯小林; 陈波","重庆众顶环保设备制造有限公司","重庆","401326 重庆市九龙坡区西彭镇森迪大道1号重庆森迪时代产业基地第37号楼厂房","重庆","40"
"徐贵力","南京补天科技实业有限公司","江苏","210000 江苏省南京市六合区雄州街道雄峰西路1号南楼202室","江苏","21"
"索尼移动通讯有限公司","索尼公司","日本","日本东京都","日本","日本"
"江苏通付盾科技有限公司; 江苏通付盾信创技术有限公司; 北京通付盾人工智能技术有限公司","江苏通付盾信创技术有限公司; 北京通付盾人工智能技术有限公司; 江苏通付盾科技有限公司","江苏","215000 江苏省苏州市姑苏区广济北路760号(协苏产业园)北三层3F-007; 215000 江苏省苏州市工业园区东长路88号苏州12.5产业园C2栋4F","江苏","21"
"上海海大技术转移有限公司","上海海大资产经营有限公司","上海","201306 上海市浦东新区中国(上海)自由贸易试验区临港新片区环湖西二路888号A楼732室","上海","20"
