转让人,受让人,地理邻近,技术相似,关系存在
现代电子产业株式会社; 株式会社现代信息通,株式会社现代信息通; UT斯达康韩国有限公司,0,1.0,1
现代电子产业株式会社; 株式会社现代信息通; UT斯达康韩国有限公司,株式会社现代信息通; UT斯达康韩国有限公司; 宇蓝有限公司,0,1.0,1
国际商业机器公司,日立环球储存科技荷兰有限公司,0,0.0,1
株式会社现代信息通,UT斯达康韩国有限公司,0,1.0,1
现代电子产业株式会社; 韩国京畿道,株式会社现代信息通; 韩国京畿道利川市夫钵邑牙美里山136-1,0,1.0,1
摩托罗拉公司; 自由度半导体公司,自由度半导体公司; 三星电子株式会社,0,1.0,1
株式会社现代信息通; 现代电子产业株式会社,UT斯达康韩国有限公司; 株式会社现代信息通,0,1.0,1
明碁电通股份有限公司,明基电通股份有限公司,1,0.3333333333333333,1
艾利森电话股份有限公司,因芬尼昂技术股份公司,0,0.25,1
飞思卡尔以色列有限公司,飞思卡尔半导体公司,0,0.1,1
刘长安,段泽明,0,1.0,1
卡鲁斯·马格努斯有限公司,霍丁B·E·V·股份有限公司,0,1.0,1
北京大学,上海北大蓝光科技有限公司,0,0.0,1
杨泰和,杉基股份有限公司,0,1.0,1
数字纸有限责任公司,E嘉资金公司,0,1.0,1
保安-7(软件)有限公司,电脑相关想象公司,0,0.5,1
发展通讯有限公司,TV指南针有限公司,0,1.0,1
斯奎尔埃尼克斯有限公司,比纹福股份有限公司,0,1.0,1
瑞典阿克赛斯安全公司,科梅克斯电子公司,0,1.0,1
艾利森电话股份有限公司,MYSQL股份公司,0,0.18181818181818182,1
CSP集团有限公司,数据宝库公司,0,1.0,1
英国国防部,秦内蒂克有限公司,1,0.5,1
奥托·穆勒,海珀斯通股份公司,0,1.0,1
神基科技股份有限公司; 科立尔数位科技股份有限公司,英特维数位科技股份有限公司; 神基科技股份有限公司,0,1.0,1
英业达集团(南京)电子技术有限公司,英华达(南京)科技有限公司,1,1.0,1
株式会社吉姆帝王; 精工爱普生株式会社,精工爱普生株式会社,1,0.6363636363636364,1
北京华纬迅科技有限公司; 南京格高网络科技有限公司,王生安; 北京华盛普讯技术股份有限公司,0,1.0,1
海力士半导体美国公司; 海力士半导体有限公司,海力士半导体有限公司; 美格纳半导体有限公司,0,1.0,1
王本中; 张群,长春卓尔信息安全产业集团股份有限公司,0,1.0,1
