"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"深圳市腾讯计算机系统有限公司","腾讯云计算(北京)有限责任公司","G06T19/00","广东","100090 北京市海淀区知春路49号3层西部309","广东","10"
"杭州电子科技大学","合肥龙智机电科技有限公司","G06Q10/04; G06Q30/0201; G06Q50/06","浙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-2704","浙江","23"
"华中科技大学","深圳大学","G06F17/10","广东","518060 广东省深圳市南山区南海大道3688号","广东","51"
"英特尔公司","谷歌有限责任公司","G06F1/32; G06F15/163","美国","美国加利福尼亚州","美国","美国"
"武汉大学","深圳市汇顶科技股份有限公司","H04L9/14; H04L9/06; H04L9/32","湖北","518045 广东省深圳市福田保税区腾飞工业大厦B座13层","湖北","51"
"中国计量大学","浙江知多多网络科技有限公司","G06F16/9535; G06F16/901; G06N3/04; G06Q30/02","浙江","311100 浙江省杭州市余杭区仓前街道海创科技中心2号楼4层407-10室","浙江","31"
"重庆邮电大学","广州大鱼创福科技有限公司","G06F16/182; G06F16/11; G06F9/50; G06N3/006","广东","510530 广东省广州市黄埔区科丰路85号801房","广东","51"
"山东公链信息科技有限公司","李宝次; 山东公链信息科技有限公司","H04L12/24; H04L12/46; G06F16/901","山东","350000 福建省福州市晋安区连江中路196号源福花园","山东","35"
"西门子公司","西门子股份公司","G06F9/45","美国","德国慕尼黑","美国","德国"
"惠州TCL移动通信有限公司","TCL移动通信科技(宁波)有限公司","G06F9/44; G06F17/30","浙江","315100 浙江省宁波市高新区扬帆路999弄5号10楼","浙江","31"
"西门子工业公司","西门子瑞士有限公司","G06T7/20","瑞士","瑞士苏黎世","瑞士","瑞士"
"中兴通讯股份有限公司","OPPO广东移动通信有限公司","H04L1/18; H04L1/16; H04L5/00","广东","523860 广东省东莞市长安镇乌沙海滨路18号","广东","52"
"宁波大学","深圳泓越信息科技有限公司","G06T7/00; G06T7/13","浙江","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","浙江","51"
"中国农业大学","合肥名龙电子科技有限公司","G06Q10/04; G06Q10/06; G06Q50/02; G06K9/62","北京","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","北京","23"
"威海海洋职业学院","龙图腾网科技(合肥)股份有限公司","G06V20/00; G06V10/82; G06V10/56; G06V10/26; G06N3/04; G06N3/08","山东","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","山东","23"
"哈尔滨工程大学","青岛民航凯亚系统集成有限公司","G05D1/08; G05D1/10","山东","266000 山东省青岛市城阳区棘洪滩街道春阳路西端动车小镇科技馆230室","山东","26"
"华为技术有限公司","华为软件技术有限公司","H04L12/28; H04L29/06; H04L12/56; H04L12/24; H04N1/00; H04N7/16; H04N7/173","广东","江苏省南京市雨花台区安德门94号  邮编 :  210012","广东","江苏"
"南京大学","江苏博智软件科技股份有限公司","G06F11/36","江苏","210012 江苏省南京市雨花台区软件大道168号3栋5层","江苏","21"
"努比亚技术有限公司","江苏永鼎通信有限公司","G06F3/0488; G06F21/83","广东","215200 江苏省苏州市吴江区黎里镇越秀路888号","广东","21"
"蒋兴德","北方工业大学","G06T5/00; G06T7/11; H04N7/14; G06F21/60","北京","100144 北京市石景山区晋元庄路5号","北京","10"
"西安交通大学","西安交通大学医学院第一附属医院","G06F16/55; G06N3/04; G06N3/08","陕西","710061 陕西省西安市雁塔区雁塔西路277号","陕西","71"
"西安理工大学","上海星地通讯工程研究所","H04L9/32; H04L9/08","上海","201800 上海市嘉定区工业开发区叶城路1288号","上海","20"
"华东师范大学","上海工业控制安全创新科技有限公司","G06F8/20","上海","200940 上海市普陀区云岭西路600弄6号楼7层","上海","20"
"杭州师范大学钱江学院","杭州师范大学","G06F40/211; G06F40/284; G06F16/9535; G06F16/33","浙江","311121 浙江省杭州市余杭区余杭塘路2318号","浙江","31"
"北京奇虎科技有限公司; 奇智软件(北京)有限公司","奇智软件(北京)有限公司","H04L29/06","北京","100088 北京市朝阳区酒仙桥路甲10号3号楼15层17层1701-26","北京","10"
"张仁平","上海臻客信息技术服务有限公司","H04L29/06","上海","202150 上海市崇明区长兴镇潘园公路1800号3号楼9951室(上海泰和经济发展区)","上海","20"
"优视科技有限公司","阿里巴巴(中国)有限公司","H04L29/06; H04L29/08; G06F17/30","北京","310051 浙江省杭州市滨江区长河街道网商路699号4号楼5楼508室","北京","31"
"歌尔光学科技有限公司","歌尔科技有限公司","G06F8/654; G06F11/14","山东","266100 山东省青岛市崂山区松岭路500号","山东","26"
"淮阴工学院","合肥九州龙腾科技成果转化有限公司","G06F18/22; G06Q50/30","江苏","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203","江苏","23"
"浙江工商大学","赛特斯信息科技股份有限公司","H04W16/18; H04W52/26","浙江","210042 江苏省南京市玄武区玄武大道699号-22号18幢","浙江","21"
"浪潮(北京)电子信息产业有限公司","上海浪潮云计算服务有限公司","H04L9/32","北京","200436 上海市静安区江场三路238号411室","北京","20"
"哈尔滨工业大学","广州小鹏汽车科技有限公司","G06T7/13; G06T7/136","广东","510000 广东省广州市广州中新广州知识城九佛建设路333号245室","广东","51"
"腾讯科技(深圳)有限公司","北京京东尚科信息技术有限公司","G06F17/00; G06Q30/06","北京","100080 北京市海淀区苏州街20号2号楼2层","北京","10"
"百度在线网络技术(北京)有限公司","阿波罗智能技术(北京)有限公司","G06V20/70; G06V10/762; G06T19/00; G06T17/20; G06T7/73; G06T7/246","北京","100085 北京市海淀区上地十街10号1幢1层105","北京","10"
"北京旷视科技有限公司","迈驰智行(重庆)科技有限公司","G06F3/01; G06F3/0481","北京","401120 重庆市渝北区两江新区卉竹路2号9幢2层257号","北京","40"
"三峡大学","深圳恒远志达信息科技有限公司","G06F18/213; G06F18/214; G06F18/2433; H02J3/00","湖北","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","湖北","51"
"维谛技术有限公司","南京理工大学连云港研究院","G06F3/00","广东","222000 江苏省连云港市科教创业园区晨光路2号","广东","22"
"株式会社东芝","丰田自动车株式会社","H04L27/26; H04B7/06","日本","日本爱知县","日本","日本"
"佛山市幻云科技有限公司","山东汇佳软件科技股份有限公司","H04L29/08; H04L29/06","山东","257000 山东省东营市东营区南一路228号东营软件园B607-609","山东","25"
"深圳市商汤科技有限公司","北京绝影智联科技有限公司","G06V20/64; G06V20/56; G06V10/25; G06V10/774; G06V10/764; G06V10/82; G06N3/0464; G06N3/08; G06T7/73; G06T7/77","北京","100000 北京市大兴区北京经济技术开发区荣华南路2号院1号楼22层2203室","北京","10"
"深圳市赛宇景观设计工程有限公司","和宇健康科技股份有限公司","H04L29/08; H04L12/24; G06F11/14; G06F16/27; G06F16/29","广东","510627 广东省广州市天河区海安路13号之一2003、1801、1804房","广东","51"
"鸿富锦精密工业(武汉)有限公司; 鸿海精密工业股份有限公司","嘉善县魏塘资产管理有限公司","G06F1/26","湖北","314100 浙江省嘉兴市嘉善县魏塘街道环北西路355号二楼西侧西二间","湖北","31"
"苏州格目软件技术有限公司","暗物智能科技(广州)有限公司","G01C21/34","广东","511458 广东省广州市南沙区金隆路37号16层整层(仅限办公)","广东","51"
"北京科技大学","江苏博智软件科技股份有限公司","G06F21/55","北京","210000 江苏省南京市雨花台区软件大道168号3栋5层","北京","21"
"长安大学","广州大鱼创福科技有限公司","H04L67/10; H04W4/44","广东","510530 广东省广州市黄埔区科丰路85号801房","广东","51"
