node,degree,pagerank,assigner_count,assignee_count,total_activity
平安普惠企业管理有限公司,6,0.0007613999993623027,6,0,6
浙江大学,1,0.0007613999993623027,1,0,1
通用电气公司,1,0.0007613999993623027,1,0,1
ABB瑞士股份有限公司,1,0.0014087819924669094,0,1,1
阿里巴巴新加坡控股有限公司,4,0.0008538831412343895,3,1,4
青岛民航凯亚系统集成有限公司,2,0.0019180659401660948,0,2,2
南方电网互联网服务有限公司,6,0.001858330187676786,0,6,6
西南科技大学,2,0.0007613999993623027,2,0,2
芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司,2,0.0009232454976384545,1,1,2
广西师范大学,3,0.0007613999993623027,3,0,3
清华大学,1,0.0007613999993623027,1,0,1
赛特斯信息科技股份有限公司,4,0.002264251054783711,0,4,4
苏州科技大学,1,0.0007613999993623027,1,0,1
同盾控股有限公司,1,0.0007613999993623027,1,0,1
广州酷狗计算机科技有限公司,2,0.0020525733008661313,0,2,2
常州信息职业技术学院,1,0.0007613999993623027,1,0,1
上海科斗电子科技有限公司,1,0.0007613999993623027,1,0,1
国网上海市电力公司,5,0.0023798549821238196,0,5,5
西门子股份公司,4,0.0013008849936161418,2,2,4
电子科技大学中山学院,2,0.0007613999993623027,2,0,2
联发科技股份有限公司,2,0.002817558245443466,0,2,2
广州中天科技咨询有限公司,3,0.0017681501246174212,0,3,3
深圳泓越企业管理咨询有限公司,3,0.0013933681354882286,0,3,3
辽东学院,1,0.0007613999993623027,1,0,1
常熟理工学院,1,0.0014087819924669094,0,1,1
湖南科技学院; 龙图腾网科技(合肥)股份有限公司,1,0.0007613999993623027,1,0,1
龙图腾网科技(合肥)股份有限公司; 深圳龙图腾科技成果转化有限公司,1,0.0014087819924669094,0,1,1
中南大学,2,0.0007613999993623027,2,0,2
西安交通大学,3,0.0007613999993623027,3,0,3
宁波大学,4,0.0007613999993623027,4,0,4
重庆理工大学,2,0.0011606840048737426,1,1,2
刘强,1,0.0007613999993623027,1,0,1
山东理工大学,1,0.0014087819924669094,0,1,1
广州明森科技股份有限公司,1,0.0010850909959146061,0,1,1
成都信息工程大学,6,0.0007613999993623027,6,0,6
重庆誉存大数据科技有限公司,1,0.0008692969982130706,0,1,1
京东方科技集团股份有限公司,1,0.0010850909959146061,0,1,1
宇龙计算机通信科技(深圳)有限公司,2,0.0007613999993623027,2,0,2
金陵科技学院,1,0.0007613999993623027,1,0,1
展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁(厦门)有限责任公司,1,0.0029993337459983983,0,1,1
歌尔光学科技有限公司,2,0.0007613999993623027,2,0,2
歌尔股份有限公司,1,0.0010850909959146061,0,1,1
辛纳普蒂克斯公司,1,0.0007613999993623027,1,0,1
暨南大学,1,0.0007613999993623027,1,0,1
四川轻化工大学,1,0.0007613999993623027,1,0,1
智博云信息科技(广州)有限公司,1,0.0014087819924669094,0,1,1
北京旷视科技有限公司; 北京迈格威科技有限公司,2,0.0007613999993623027,2,0,2
原力图新(重庆)科技有限公司,2,0.0013008849936161418,0,2,2
