node,degree,pagerank,assigner_count,assignee_count,total_activity
盛趣信息技术(上海)有限公司; 盛大计算机(上海)有限公司,1,0.0007613999993623027,1,0,1
中国地质大学(武汉),2,0.0007613999993623027,2,0,2
诺基亚公司,6,0.0007613999993623027,6,0,6
芯鑫融资租赁有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司,2,0.00113903949533999,0,2,2
鸿富锦精密工业(武汉)有限公司; 鸿海精密工业股份有限公司,2,0.0009232454976384545,1,1,2
海宁经开产业园区开发建设有限公司,1,0.0015463994983243377,0,1,1
洋浦美诺安电子科技有限责任公司,1,0.0007613999993623027,1,0,1
中天宽带技术有限公司,2,0.0010850909959146061,1,1,2
中天宽带技术有限公司; 中天通信技术有限公司,1,0.0016840170041817662,0,1,1
山东浪潮人工智能研究院有限公司,3,0.0013245136082420258,2,1,3
