"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"王延峰; 张娅; 上海交通大学","上海媒智科技有限公司; 王延峰; 张娅","上海","200030 上海市徐汇区虹桥路333号3幢387室; 200063 上海市普陀区光复西路2077弄85号701室","上海","20"
"南通芯迎设计服务有限公司","绍兴蓝能光伏科技有限公司","浙江","312030 浙江省绍兴市柯桥区科创大厦B座16楼1612室","浙江","31"
"米迪尔波得股份有限公司","赛达克雷斯特合伙公司","美国","美国纽约州","美国","美国"
"雪峰创新(北京)科技有限公司","新疆雪峰科技(集团)股份有限公司","北京","830017 新疆维吾尔自治区乌鲁木齐市头屯河区阿里山街500号新疆雪峰科技(集团)股份有限公司研发大楼","北京","83"
"北京云狐时代科技有限公司","宁波云弧科技有限公司","北京","315000 浙江省宁波市奉化区岳林街道中山东路16号(叶傅图书馆)2楼801(自主申报)","北京","31"
"国网陕西省电力有限公司; 西安交通大学","国网陕西省电力有限公司","陕西","710000 陕西省西安市碑林区柿园路218号","陕西","71"
"算筹信息科技有限公司; 算筹(深圳)信息科技有限公司","算筹(深圳)信息科技有限公司; 算筹(深圳)微电子有限公司","广东","518000 广东省深圳市福田区福田街道福安社区益田路5033号平安金融中心71层; 518000 广东省深圳市福田区福保街道福保社区桃花路与槟榔道交汇处西北深九科技创业园5号楼208D","广东","51"
"杭州九阳小家电有限公司","杭州九创家电有限公司","浙江","310000 浙江省杭州市钱塘新区白杨街道22号大街52号2幢","浙江","31"
"广州恒惟信科技集团有限公司; 广东嘉行科技有限公司","广州恒惟信科技集团有限公司","广东","510000 广东省广州市增城区宁西街创新大道14号3栋707室","广东","51"
"中科创达软件股份有限公司","中科创达软件股份有限公司; 沈阳中科创达软件有限公司","北京","100191 北京市海淀区龙翔路甲1号泰翔商务楼4层","北京","10"
"国网陕西省电力公司电力科学研究院; 国家电网有限公司; 西安交通大学","国网陕西省电力有限公司电力科学研究院; 国家电网有限公司; 西安交通大学","陕西","710199 陕西省西安市国家民用航天产业基地航天中路669号","陕西","71"
"山东泰宝信息科技集团有限公司","新疆维吾尔自治区标准化研究院; 山东泰宝信息科技集团有限公司; 新疆维吾尔自治区标准化研究院(自治区组织机构代码管理中心、中国物品编码中心新疆分中心、WTO/TBT通报咨询中心)","山东","830011 新疆维吾尔自治区乌鲁木齐市高新区(新市区)河北东路188号; 256400 山东省淄博市桓台县少海路北首","山东","83"
"湖南文盾信息技术有限公司","湖南文盾信息技术有限公司; 中国人民解放军国防科技大学","湖南","410201 湖南省长沙市开福区青竹湖街道青竹湖路118号金卓产业园二期第12栋601号","湖南","41"
"伯克顿迪金森公司","英佰达公司","美国","美国马萨诸塞州","美国","美国"
"上海昌岛医疗科技有限公司","沈熠","上海","200080 上海市虹口区四川北路700弄275号","上海","20"
"北京三体云联科技有限公司","北京世纪好未来教育科技有限公司","北京","100082 北京市海淀区中关村大街32号蓝天和盛大厦1702-03室","北京","10"
"北京壁虎科技有限公司; 潘建; 包头市悠然网络科技有限公司","潘建; 包头市悠然网络科技有限公司; 天津安果科技有限公司","北京","100025 北京市朝阳区慈云寺1号院东区国际3号楼2907; 014000 内蒙古自治区包头铝业产业园区管委会315室; 300457 天津开发区信环西路19号5号楼5701-3","北京","10"
"武汉财源通网络科技有限公司","上海煤科信息科技有限公司","上海","200030 上海市徐汇区天钥桥路1号","上海","20"
"深圳市检验检疫科学研究院; 深圳海关工业品检测技术中心","深圳市检验检疫科学研究院; 深圳海关工业品检测技术中心; 深圳海关后勤管理中心","广东","518033 广东省深圳市福田区福田街道福强路1011号","广东","51"
"中国电力科学研究院有限公司; 国网安徽省电力有限公司电力科学研究院; 湖北工业大学","中国电力科学研究院有限公司; 国网安徽省电力有限公司电力科学研究院; 湖北工业大学; 国家电网有限公司; 国网安徽省电力有限公司","北京","100192 北京市海淀区清河小营东路15号","北京","10"
"北京高航联合科技有限公司; 中兴通讯股份有限公司; 重庆金令智能设备有限公司","重庆骏华机电设备有限公司; 北京高航联合科技有限公司; 重庆天智慧启科技有限公司","广东","400021 重庆市渝北区白桦路39号; 100000 北京市朝阳区朝外雅宝路12号8层801室; 400700 重庆市北碚区水土高新技术产业园云汉大道5号附347号","广东","40"
"华为技术有限公司; 惠州市智泰企业管理有限公司","惠州市智泰企业管理有限公司; 南通天源电器有限公司; 南通天源气体有限公司","广东","516003 广东省惠州市惠州市云山西路4号德威大厦12层06号A区; 226000 江苏省南通市港闸区陈桥街道荣盛路99号; 广东省惠州市云山西路4号德威大厦12层06号A区","广东","51"
"深圳市中电电力技术股份有限公司","深圳市中电电力技术股份有限公司; 贵州电网有限责任公司电力科学研究院","广东","518000 广东省深圳市车公庙泰然工贸园201栋8楼西","广东","51"
"蒋云晖","宁波邻家网络科技有限公司","浙江","315016 浙江省宁波市海曙区翠柏路89号","浙江","31"
"深圳林洋电子科技有限公司","江苏林洋电子股份有限公司","广东","226200 江苏省南通市启东经济开发区林洋路666号","广东","22"
"三峡大学; 国网湖北省电力有限公司经济技术研究院; 武汉华宇力泰科技有限责任公司; 武汉鑫成鹏达信息科技有限公司","武汉鑫成鹏达信息科技有限公司; 常州鑫成鹏达信息科技有限公司","湖北","430073 湖北省武汉市东湖新技术开发区高新大道999号武汉未来科技城龙山创新园一期B3栋10楼1072(自贸区武汉片区); 213000 江苏省常州市新北区高新科技园10号楼东楼201-12室","湖北","43"
"王睿斌","腾讯科技(深圳)有限公司","安徽","518044 广东省深圳市福田区振兴路赛格科技园2栋东403室","安徽","51"
"杭州平望科技有限公司","杭州秦天智能终端设备有限公司","浙江","310053 浙江省杭州市滨江区南环路3730号源越科技大楼4楼","浙江","31"
"小元感知(北京)科技有限公司","小元感知(无锡)科技有限公司","北京","100000 北京市海淀区中关村南大街5号683号楼理工科技大厦1319室","北京","10"
"奥托诺米克有限责任公司","福特全球技术公司","美国","美国密歇根州迪尔伯恩市","美国","美国"
"速桥有限责任公司","高通股份有限公司","美国","美国加利福尼亚州","美国","美国"
"广东塔斯克机器人有限公司","杭州塔斯克机器人有限公司","广东","310000 浙江省杭州市上城区土山一弄2号主楼一层","广东","31"
"核工业航测遥感中心","中核坤华能源发展有限公司; 核工业航测遥感中心","浙江","310000 浙江省杭州市余杭区良渚街道时代大厦1927室","浙江","31"
"苏州元顿传感科技有限公司; 苏州泛普智能科技有限公司","苏州泛普智能科技有限公司; 合肥元顿传感科技有限公司","江苏","215316 江苏省苏州市昆山市玉山镇台虹路19号二期B栋; 231633 安徽省合肥市瑶海区包公大道1号瑶海都市科技工业园3号楼B区1层101室","江苏","21"
"中兴通讯股份有限公司; 深圳尚格知识产权服务有限公司","深圳尚格知识产权服务有限公司; 阳信县润田棉业有限公司","广东","518000 广东省深圳市宝安区新安街道前进一路269号诺铂广场625室; 251800 山东省滨州市阳信县商店镇小桑街","广东","51"
"X开发有限责任公司","谷歌有限责任公司","美国","美国加利福尼亚州","美国","美国"
"成都企图科技有限公司","陈翌旸","四川","610000 四川省成都市武侯区世纪城南路599号6栋5层505号","四川","61"
"知远(海南)物联网科技有限公司","海南南斗数字导航科技有限公司","海南","572024 海南省三亚市崖州区崖州湾科技城百泰产业园四号楼六楼603-3室","海南","57"
"曙光信息产业(北京)有限公司; 曙光信息产业股份有限公司","曙光信息产业(北京)有限公司; 曙光信息产业股份有限公司; 中科曙光(重庆)计算技术有限公司","北京","100193 北京市海淀区东北旺西路8号院36号楼; 402760 重庆市璧山区璧泉街道聚金大道52号1号商业B部分","北京","10"
"南京艾溪信息科技有限公司","北京中科寒武纪科技有限公司","江苏","100190 北京市海淀区科学院南路6号科研综合楼644室","江苏","10"
"常州联力通信科技有限公司","常州联力自动化科技有限公司","江苏","213125 江苏省常州市新北区庆阳路","江苏","21"
"广州供电局有限公司; 广州科腾信息技术有限公司; 广东龙腾机电股份有限公司","广州龙腾机电股份有限公司; 广州供电局有限公司","广东","528400 广东省中山市东区东苑南路126号综合楼四层; 510000 广东省广州市天河区天河南二路2号","广东","52"
"江苏中农物联网科技有限公司","湖北大场科技有限公司","江苏","430010 湖北省武汉市东湖新技术开发区金融港一路7号神州数码武汉科技园27栋10楼1003-01室(自贸区武汉片区)","江苏","43"
"无锡辰星机器人科技有限公司","上海器魂智能科技有限公司","上海","201803 上海市嘉定区江桥镇沙河路337号1_203室J537","上海","20"
"济南浪潮高新科技投资发展有限公司; 山东浪潮科学研究院有限公司","山东浪潮科学研究院有限公司; 浪潮计算机科技有限公司","山东","250101 山东省济南市高新区浪潮路1036号S02号楼; 250000 山东省济南市高新区新泺大街1166号奥盛大厦1号楼2324","山东","25"
"苏州侠洛信息科技有限公司","上海故垒信息科技有限公司","江苏","200000 上海市青浦区重固镇北青公路6878号1幢1层H区105室","江苏","20"
