"转让人","受让人","IPC分类号"
"广东高航知识产权运营有限公司; 华为技术有限公司","广州明创网络科技有限公司; 广东高航知识产权运营有限公司","H04L12/917; H04L12/927; H04L47/76; H04L45/02; H04L45/125; H04L45/42; H04L45/74; H04L47/20; H04L47/724; H04L47/80"
"中铁大桥局集团有限公司; 中铁大桥科学研究院有限公司","中铁大桥局集团有限公司; 中铁大桥科学研究院有限公司; 中国国家铁路集团有限公司","G06V40/10; G06V40/20; G06V10/82; G06V10/40; G06V10/26; G06V10/34; G06V10/764; G06T7/60; G06Q50/08; G06N3/04; G06N3/08; G08B21/04; G08B3/10"
"广西科技大学","广西产研院人工智能与大数据应用研究所有限公司","G06T7/149"
"江南大学","江南大学; 江苏恒顺醋业股份有限公司","C12J1/10; C12J1/00; G05D23/20; G06N3/02; G01D21/02"
"武汉万安智能技术有限公司","武汉艾科思未来科技有限公司","G06K9/00; G06K9/32; G06K9/34; G06K9/46; G06K9/62"
"王刚","广东中安金狮安全护卫服务有限公司","G06K9/00; G06K9/46; B60Q9/00"
"北京勇搏科技有限公司; 北京工业大学","上海芯化和云数据科技有限公司; 北京勇搏科技有限公司","G06K9/62; G06F16/9535"
"荆楚理工学院","荆门市探梦科技有限公司","G06F1/18; G06F1/20"
"苏州华士无线科技有限公司","宁夏乐道物联网科技有限公司","H03F1/02; H03F1/30; H03F3/21; H03G3/30"
"前视红外系统股份公司; 菲力尔系统公司","前视红外系统股份公司; 特利丹菲力尔有限责任公司","G06T5/00; G06T5/50"
"李朝荣","宜宾学院","G06F17/30; G06T3/60"
"陈志民; 罗海金","厦门想礼科技有限公司","H04L41/22; H04L67/025; H04L67/125; H04L67/303; G16Y30/00"
"江苏巴威工程技术股份有限公司","江苏逸海堂环境技术有限公司","F24D3/02; F24D3/08; F24D3/10; F24D19/10"
"洛格逻辑公司","蒂布科软件股份有限公司","G06F17/30; G06F17/00"
"深圳时空科技集团有限公司","深圳时空数字科技有限公司","G06F3/01; G06F3/04883; G06K17/00; G10L15/22; B60K35/00"
"昆明理工大学","云南行知协同农业科技有限公司","G06K9/62; G06F17/18; G06Q10/04; G06Q50/02"
"南京博雅集智智能技术有限公司","江苏省未来网络创新研究院","G06K9/62; G06N3/04"
"北京易恒信认证科技有限公司","北京联合智华微电子科技有限公司","G06F17/30; G06F21/24; G06F21/60"
"田飞","湖南省工业设计协会","G06F3/048; G06F3/033"
"新华财经信息咨询有限公司","王宇","G06F17/00"
"东莞市台德智慧科技有限公司","江西台德智慧科技有限公司","H04R1/02; H04R3/00; G10L15/22"
"上海连尚网络科技有限公司","上海晨连科技有限公司","H04L29/06"
"上海艾泰科技有限公司","上海艾泰网络信息有限公司","H04L29/08; H04L12/66"
"廖鼎","北京多正科技有限公司","H04L9/40; H04L67/10"
"株式会社日立制作所; 日立通讯技术株式会社","费帕弗洛维特知识产权股份公司; 株式会社日立制作所","H04L12/56"
"浙江宏远智能科技有限公司","上海海阳大健康产业集团股份有限公司","G06Q10/047; B65F9/00; G06Q10/0631; G06Q50/26; G06V10/12"
"国家电网公司; 中国电力科学研究院","国家电网公司; 中国电力科学研究院; 国网河北省电力公司","G06Q50/06"
"阿里巴巴集团控股有限公司","浙江菜鸟供应链管理有限公司","G06T7/73; G06T3/08; G06V10/44"
"北京可思云海科技有限公司; 鞠秋萍","鞠秋萍; 上海彩亿信息技术有限公司","H04L29/08"
"苏州大学","苏州云屏网络科技有限公司","G06K9/62; G09F27/00"
"芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(北京)有限责任公司","展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司","H04L1/00; H03M13/29; H03M13/27"
"华为技术有限公司; 蚌埠贵久知识产权服务有限公司","蚌埠贵久知识产权服务有限公司; 南通航大电子科技有限公司","G06F9/445; G06F12/0802; G06F12/0877"
"武桂英","韦晓枫","G06F1/20; G06F1/18"
"天津鼎晟科技发展有限公司; 天津大学","苏州盛泽科技创业园发展有限公司; 天津鼎晟科技发展有限公司","G06F19/00"
"陶大江","武汉汝成网络科技有限公司","G06F1/18; B08B5/04; B08B13/00"
"长安大学","深圳市诺龙技术股份有限公司","G06F16/215"
"深圳市云之讯网络技术有限公司","深圳市小码快跑网络有限公司","H04L12/24; H04M7/00"
"中兴通讯股份有限公司","盐城昊隆机械有限公司","H04L1/18; H04W72/12"
"杭州睿疆科技有限公司; 杭州传化智能制造科技有限公司","杭州承一数字技术有限公司; 杭州睿疆科技有限公司","G06F8/38; G06F16/248"
"交互数字VC控股公司; 汤姆逊许可公司","交互数字麦迪逊专利控股公司; 交互数字VC控股公司","G06T5/50; G06T5/00"
"张家口浩扬科技有限公司","广州旺加旺网络科技有限公司","G06F17/30; G06F21/56"
"曙光信息产业(北京)有限公司; 无锡城市云计算中心有限公司; 曙光信息产业(北京)有限公司","曙光信息产业(北京)有限公司; 曙光信息产业股份有限公司; 曙光信息产业(北京)有限公司; 无锡城市云计算中心有限公司","G06F9/445"
"杭州雅凇科技有限公司","罗晓语","G06F1/18; G06F21/71; E05B47/00; E05B63/14"
"刘进生","东莞市汇荣电子有限公司","G06F1/16; B01D46/00; B01D53/00"
"苏州若依玫信息技术有限公司","深圳市拓普瑞电子有限公司","G06F3/02; H01H13/7057"
"北京勇博科技有限公司; 宁波大学","刘福敏; 王俊凤; 北京勇博科技有限公司","H04L27/26; H04L25/03; H04L1/00"
"深圳易嘉恩科技有限公司","四川虹微技术有限公司","G06Q20/32; G09F3/02"
"郑刚","北京慧图科技(集团)股份有限公司","G01F23/00; G01P5/26; G01C11/00; H04N7/18"
"上海卡萨就德网络科技有限公司","重庆紫光华智电子科技有限公司","H04L45/60; H04Q1/02; H04Q1/04"
"上海精密计量测试研究所","上海航天技术基础研究所","G06Q10/0639; G06F16/383; G06F16/38; G06F18/213; G06F18/22; G06F18/2431"
"硅实验室公司; 陈少杰","NXP股份有限公司","G06F1/32; H04B1/16; H04B15/00; G06F13/00; G06Q10/00; H04L12/58"
"北京云涌科技发展有限责任公司","江苏云涌电子科技有限公司","H04L12/40; G05B19/418"
"中国电力科学研究院; 国家电网公司","中国电力科学研究院; 国家电网公司; 中国电力科学研究院国网北京市电力公司","G06Q10/00; G06Q50/06"
"重庆理工大学","重庆茂侨科技有限公司","G06N20/00; G06K9/62"
"常熟理工学院; 上海诺防网络科技有限公司; 上海德运光电技术有限公司","上海诺防网络科技有限公司; 上海德运光电技术有限公司; 努尔玛信息科技(上海)有限公司","H04L29/08; H04L29/06"
"北京佰才邦技术股份有限公司","北京佰才芯展科技有限公司","H04L5/00; H04L1/1812; H04W28/04; H04W72/23; H04W72/0446"
"广东弘贝融科信息科技有限公司","广东横琴粤澳深度合作区绿棱科技有限公司","G06Q40/02; G06Q10/10"
"江苏楷文电信技术有限公司","常州小文智能科技有限公司","G06F3/041; G06F3/039; H04R1/02; H04R1/12"
"北京世纪互联工程技术服务有限公司; 北京云快线软件服务有限公司; 北京世纪互联宽带数据中心有限公司","北京世纪互联宽带数据中心有限公司; 上海蓝云网络科技有限公司","H04L29/12; H04L29/06; H04L29/08"
"诚研科技股份有限公司","诚研科技(苏州)有限公司","G06K1/18; G06K1/00"
"董正高; 董希平; 周宗良","董正高","G06F3/023; G06F3/033"
"东莞市华睿电子科技有限公司; 肖积文","肖积文; 深圳市大同信息技术有限公司","G06F13/00"
"长安大学","山东康吉诺技术有限公司","G06K9/00; G01H17/00"
"深圳市聚商鼎力网络技术有限公司","逑美科技(上海)有限公司","G06F17/00; G06Q10/04; G06K9/62; G06N3/04; G06N3/06; G06N3/08"
"英业达股份有限公司","侯贺峰","G06F3/06; G06F11/32"
"成都鼎智汇科技有限公司","北京格林威尔科技发展有限公司; 北京格林伟迪科技股份有限公司","G06F9/50; G06F9/455"
"北京航空工程技术研究中心; 北京金讯电子有限公司","北京航空工程技术研究中心","G06F1/16; G06F3/05"
"重庆山河汇聚人工智能科技有限公司","重庆金言智策科技有限公司","G06Q40/02; G06Q40/03; G06Q10/0833; G06Q10/087; G06F16/27; G06Q10/10"
"北方工业大学","时代华易(武汉)信息技术有限公司","G06F16/9535; G06N3/0464; G06N3/047; G06N3/049; G06N3/084"
"艾沃瑞赛恩斯股份有限公司","艾沃瑞赛恩斯日本股份有限公司","G06Q40/02; G06Q50/10; H04L29/08; G06Q30/06; H04W4/80; H04L29/06"
"武汉投知家信息科技有限公司; 深圳益强信息科技有限公司","黑龙江省蟠龙天地科技发展有限公司; 武汉投知家信息科技有限公司","H04L29/08; G07C9/00"
"绍兴市迈能信息科技有限公司","张元坤","G06F21/79"
"湖南经研电力设计有限公司","国网湖南省电力有限公司; 国网湖南省电力有限公司经济技术研究院; 湖南经研电力设计有限公司","G06T17/00; G06Q10/04; G06Q50/06; G06F18/10"
"云海创想信息技术(无锡)有限公司; 云海创想信息技术(天津)有限公司","深圳市安云信息科技有限公司","G06F9/445; G06F11/26"
"哲库科技(上海)有限公司; 哲库科技有限公司","伟光有限公司; 哲库科技(上海)有限公司","H04L27/26"
"上海亚太蓝星计算机信息技术有限公司","上海飞默利凯科技有限公司","G06Q50/22; G06K19/07; G06K17/00"
"圣地斯克公司","桑迪士克科技公司","G06F13/38; G06F21/00; H04L9/00; G06F9/38; G06F9/445; G06F13/00; G06K19/07"
"杭州灿八科技有限公司; 杭州铭智云教育科技有限公司","林江; 陈旭; 朱勇; 胡小鹏; 杭州灿八科技有限公司","G06K9/00; G06K9/46; G06T7/194; G06T7/60"
"京信通信技术(广州)有限公司","广州钟鼎木林网络技术有限公司","H04L25/38; H04J13/00; H04W36/00; H04W56/00"
