主体ID,degree,in_degree,out_degree,betweenness,eigenvector,k_core
ABB 瑞士股份有限公司,1.7328319672841323e-05,8.664159836420662e-06,8.664159836420662e-06,0.0,2.407435917941641e-05,2
ABB有限公司,2.5992479509261986e-05,1.7328319672841323e-05,8.664159836420662e-06,0.0,0.0015751509291675302,2
ABB 瑞士股份有限公司; 通用电气公司; ABB电力电子公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB电力电子公司; ABB 瑞士股份有限公司; ABB瑞士股份有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,2
ABB公司; ABB技术有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB技术有限公司; ABB瑞士股份有限公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,4.4709524190344765e-05,1
ABB技术有限公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,1
ABB技术有限公司; ABB公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; ABB技术有限公司,1.7328319672841323e-05,8.664159836420662e-06,8.664159836420662e-06,0.0,2.407435917941641e-05,1
ABB技术有限公司; ABB瑞士股份有限公司; 日立能源瑞士股份公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,2
ABB技术有限公司; 日立能源瑞士股份公司; ABB瑞士股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB技术股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB技术股份公司; ABB瑞士股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; 马里奇控股荷兰有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB技术股份公司; 宝威电源意大利股份公司; 大动力可再生能源解决方案公司; 法特斯帕尼尔技术公司; FS清算(代表债权方的转让)公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; ABB技术股份公司; 宝威电源意大利股份公司; FS清算(代表债权方的转让)公司; 大动力可再生能源解决方案公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB瑞士有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
马里奇控股荷兰私人有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB瑞士股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
马里奇控股荷兰有限公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,0.0015235630166402093,1
ABB瑞士股份有限公司; ABB 技术有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB电网瑞士股份公司; ABB瑞士股份有限公司,2.5992479509261986e-05,2.5992479509261986e-05,0.0,0.0,0.00011693260172859399,1
ABB瑞士股份有限公司; ABB 技术有限公司; 日立能源瑞士股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB电网瑞士股份公司; ABB瑞士股份有限公司; 日立能源有限公司,2.5992479509261986e-05,2.5992479509261986e-05,0.0,0.0,6.534468920127312e-05,1
ABB瑞士股份有限公司; ABB技术有限公司; 日立能源瑞士股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; ABB技术股份公司; 宝威电源意大利股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
马里奇控股荷兰有限公司; ABB瑞士股份有限公司; ABB技术股份公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB瑞士股份有限公司; ABB研究有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; ABB研究有限公司; 日立能源瑞士股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; 日立能源瑞士股份公司,2.5992479509261986e-05,0.0,2.5992479509261986e-05,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; 日立能源有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB电网瑞士股份公司; 日立能源有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB瑞士股份有限公司; 日立能源瑞士股份公司; ABB 技术有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB电网瑞士股份公司; 日立能源有限公司; ABB瑞士股份有限公司,2.5992479509261986e-05,2.5992479509261986e-05,0.0,0.0,6.534468920127312e-05,2
ABB瑞士股份有限公司; 日立能源瑞士股份公司; ABB技术有限公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,2
ABB瑞士股份有限公司; 日立能源瑞士股份公司; ABB技术股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; 日立能源瑞士股份公司; ABB研究有限公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,2
ABB瑞士股份有限公司; 通用电气公司; ABB电力电子公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB电力电子公司; ABB瑞士股份有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB电力电子公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB研究有限公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,1
达拉卡图乐有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB研究有限公司; ABB瑞士股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB瑞士股份有限公司; ABB电网瑞士股份公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ABB研究有限公司; ABB瑞士股份有限公司; 日立能源瑞士股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB研究有限公司; 日立能源瑞士股份公司; ABB瑞士股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB股份公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB高姆技术有限责任公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ABB·AG(瑞士)公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AB开元软件公司; 阿奇泰克有限公司; 起元软件有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
阿奇泰克有限公司; 起元科技有限公司; 起元软件有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AB生物股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
精密分子解决方案有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AB迪克控股有限公司; 马科尼英国知识产权有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
马科尼英国知识产权有限公司; 拉森矿物有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ACD株式会社,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ACD控股株式会社,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ACTIWAVE公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
思睿逻辑国际半导体有限公司,3.4656639345682646e-05,3.4656639345682646e-05,0.0,0.0,8.597985421220149e-05,1
ADA零度株式会社,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
株式会社extime,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ADC长途电讯有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
宽带特许权公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ADT服务有限责任公司; 传感电子公司; 传感电子有限责任公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,1
ADT服务有限责任公司; 传感电子有限责任公司; 泰科消防及安全有限公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,4.4709524190344765e-05,1
泰科消防及安全有限公司; 传感电子有限责任公司; ADT服务有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ADT服务有限责任公司; 传感电子有限责任公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,1
ADT服务有限责任公司; 泰科消防及安全有限公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,4.4709524190344765e-05,1
泰科消防及安全有限公司; ADT服务有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ADT服务有限责任公司; 传感电子有限责任公司; 传感电子公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
泰科消防及安全有限公司; ADT服务有限责任公司; 传感电子有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AES技术有限责任公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
瑞派菲公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AES有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
富朗斯能源有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AGA公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
福申公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AIQ私人股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
吴树城,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AKA智能株式会社,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
AKA人工智能株式会社,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ALL-TAG公司; ALL-TAG安全股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
睿保乐有限公司; ALL-TAG安全美国股份有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AMDT控股公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
阿瑟雷克斯股份有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AMI控股有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
巴姆堡知识产权控股有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
ANSYS LUMERICAL知识产权有限责任公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
ANSYS 公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AOLLLC(美国在线服务有限公司),8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
塔吉克通信有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AOL公司; AOL有限责任公司; 马拉松解决方案有限责任公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
"马拉松解决方案有限责任公司; AOL公司; 灿阳技术公司, 联合保险信托I系列42",8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
AOL有限责任公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,1
泰吉克通讯股份有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
美国在线公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
APM终端管理有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
