"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"苏州知康医疗科技有限公司; 王萍","北京康萍科技有限公司; 苏州知康医疗科技有限公司","北京","100000 北京市海淀区海淀大街甲36号1层东部; 215000 江苏省苏州市高新区竹园路209号4号楼1409","北京","10"
"努比亚技术有限公司; 山东创品信息咨询服务有限公司","山东创品信息咨询服务有限公司; 陕西督雅望科技有限公司","山东","276000 山东省临沂市高新技术产业开发区龙湖软件园C703室; 712000 陕西省西安市西咸新区秦汉新城窑店街道办兰池大厦C座5层593号","山东","27"
"蚌埠贵久知识产权服务有限公司; 武汉投知家信息科技有限公司; 立德高科(北京)数码科技有限责任公司","扬州制汇互联信息技术有限公司; 蚌埠贵久知识产权服务有限公司; 武汉投知家信息科技有限公司","北京","225000 江苏省扬州市高新技术产业开发区开发西路217号; 233000 安徽省蚌埠市禹会区张公山路319号三楼1号; 430000 湖北省武汉市洪山区东湖新技术开发区老武黄公路206号慧谷时空1幢705、706A","北京","22"
"李钢","北京黄金视讯科技有限公司","北京","北京市海淀区信息路七号数字传媒大厦6层","北京","北京"
"重庆宇思腾企业管理咨询有限公司; 重庆砖家宝网络科技发展有限公司","重庆必推客网络科技有限公司; 重庆宇思腾企业管理咨询有限公司","重庆","400000 重庆市渝北区创意公园15栋6单元3楼; 400700 重庆市北碚区蔡家岗镇嘉瑞大道18号附74号","重庆","40"
"南京佳和牙科技术有限公司","上海微云实业集团有限公司","上海","200000 上海市徐汇区钦州北路1188号1幢8层801室","上海","20"
"奥古斯丁科技股份有限公司","热速得控股股份有限公司","台湾","中国香港, 邮编 :","台湾","中国"
"张宇翔","山东高速信联科技股份有限公司","山东","250000 山东省济南市高新区汉峪金谷A7-5信联科技大厦","山东","25"
"徐州工业职业技术学院; 合肥九州龙腾科技成果转化有限公司","合肥九州龙腾科技成果转化有限公司; 已未来(北京)通信科技有限公司","江苏","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203; 102600 北京市大兴区宏福路3号院2号楼1至2层202","江苏","23"
"李自辉; 温州承玥机械设备有限公司","温州承玥机械设备有限公司; 深圳市长城宽带网络服务有限公司","浙江","325000 浙江省温州市鹿城区府东路上堡公寓10幢1604室-2; 518054 广东省深圳市南山区粤海街道科技园社区科发路3号长城科技大厦1号厂房201A区","浙江","32"
"挹光科技股份有限公司","泽浦科技股份有限公司","台湾",NA,"台湾","Unknown"
"株式会社KT; 客得富移动通信股份有限公司","III控股1有限责任公司; 株式会社KT","韩国","美国特拉华州; 韩国城南市","韩国","美国"
"蚌埠立超信息科技有限公司; 杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司; 上海斐讯数据通信技术有限公司","湖州帷幄知识产权运营有限公司; 蚌埠立超信息科技有限公司; 东莞市万酷电子科技有限公司; 杭州吉吉知识产权运营有限公司","上海","313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室; 233000 安徽省蚌埠市燕山路8319号(上理工科技园6号302室); 523000 广东省东莞市清溪镇钟千路15号5号楼301室; 310000 浙江省杭州市滨江区西兴街道江淑路260号10242室","上海","31"
"北京友强惠泽机电科技股份有限公司","北京安达维森机电设备技术有限公司","北京","100176 北京市大兴区经济技术开发区科创十四街20号院7号楼1-101","北京","10"
"北京金山安全软件有限公司","乐蜜有限公司","北京","开曼群岛大开曼群岛","北京","开曼"
"平安普惠企业管理有限公司","深圳市云速易连科技有限公司","广东","518000 广东省深圳市南山区粤海街道科技园社区科丰路2号特发信息港大厦B栋1207","广东","51"
"惠州市惠城区新宏威硅胶制品厂","惠州市宏远科技有限公司","广东","516000 广东省惠州市惠城区小金口街道柏岗村尾二小组南四路","广东","51"
"深圳市时时发控股有限公司","成都诚旭精密机械有限公司","四川","610000 四川省成都市郫都区现代工业港南片区正港路258号","四川","61"
"纽昂斯通讯公司","赛伦斯运营公司","美国","美国马萨诸塞州","美国","美国"
"刘清利","潍坊科技学院","山东","262700 山东省寿光市金光街1299号潍坊科技学院","山东","26"
"左旺孟; 张宏志; 邓红; 石坚; 张垒磊","哈尔滨市超凡视觉科技有限公司","黑龙江","150090 黑龙江省哈尔滨市南岗区嵩山路副36号701室","黑龙","15"
"华为技术有限公司","刘纳","广东","075000 河北省张家口市桥东区汉桥街26号2楼1单元301号","广东","07"
"深圳市同泰怡信息技术有限公司","同泰怡信息技术(福建)有限公司","广东","350100 福建省福州市闽侯县上街镇乌龙江南大道30号福州清华紫光科技园-海峡科技研发区1-6#研发楼5层501研发-1","广东","35"
"呼和浩特市肃博电子技术有限公司","河南中信科大数据科技有限公司","河南","450000 河南省郑州市自贸试验区郑州片区(郑东)商务外环路22号2单元16层1602号","河南","45"
"易元数字(北京)科技集团有限公司","易元数字(北京)科技集团有限公司; 易元数字(北京)大数据科技有限公司","北京","100037 北京市西城区阜成门外大街2号21层B2301","北京","10"
"成都市亚丁胡杨科技股份有限公司; 四川省和信源创劳务有限公司","四川省和信源创劳务有限公司; 四川才能科技有限公司","四川","610072 四川省成都市青羊区清江中路20号11层18号; 610000 四川省成都市青羊区清江中路20号(中国成都人力资源服务产业园)11层18号","四川","61"
